a	 -a
idōrrani	- -id-ōr-ran-i
idōrsani	- -id-ōr-san-i
idōsmani	- -id-ōs-man-i
idōsrani	- -id-ōs-ran-i
idōssani	- -id-ōs-san-i
idōmra	- -id-ōm-r-a
idōmsa	- -id-ōm-s-a
idōrma	- -id-ōr-m-a
idōrsa	- -id-ōr-s-a
idōsma	- -id-ōs-m-a
idōsra	- -id-ōs-r-a
idōssa	- -id-ōs-s-a
idōmmana	- -id-ōm-man-a
idōmrana	- -id-ōm-ran-a
idōmsana	- -id-ōm-san-a
idōrmana	- -id-ōr-man-a
idōrrana	- -id-ōr-ran-a
idōrsana	- -id-ōr-san-a
idōsmana	- -id-ōs-man-a
idōsrana	- -id-ōs-ran-a
idōssana	- -id-ōs-san-a
irdōm	- -ird-ōm
irdōr	- -ird-ōr
irdōmi	- -ird-ōm-i
irdōri	- -ird-ōr-i
irdōma	- -ird-ōm-a
irdōra	- -ird-ōr-a
irdōmir	- -ird-ōm-ir
irdōmis	- -ird-ōm-is
irdōrim	- -ird-ōr-im
irdōris	- -ird-ōr-is
irdōsim	- -ird-ōs-im
irdōsir	- -ird-ōs-ir
irdōsis	- -ird-ōs-is
irdōmman	- -ird-ōm-man
irdōmran	- -ird-ōm-ran
irdōmsan	- -ird-ōm-san
irdōrman	- -ird-ōr-man
irdōrran	- -ird-ōr-ran
irdōrsan	- -ird-ōr-san
irdōsman	- -ird-ōs-man
irdōsran	- -ird-ōs-ran
irdōssan	- -ird-ōs-san
irdōmri	- -ird-ōm-r-i
irdōmsi	- -ird-ōm-s-i
irdōrmi	- -ird-ōr-m-i
irdōrsi	- -ird-ōr-s-i
irdōsmi	- -ird-ōs-m-i
irdōsri	- -ird-ōs-r-i
irdōssi	- -ird-ōs-s-i
irdōmmani	- -ird-ōm-man-i
irdōmrani	- -ird-ōm-ran-i
irdōmsani	- -ird-ōm-san-i
irdōrmani	- -ird-ōr-man-i
irdōrrani	- -ird-ōr-ran-i
irdōrsani	- -ird-ōr-san-i
irdōsmani	- -ird-ōs-man-i
irdōsrani	- -ird-ōs-ran-i
irdōssani	- -ird-ōs-san-i
irdōmra	- -ird-ōm-r-a
irdōmsa	- -ird-ōm-s-a
irdōrma	- -ird-ōr-m-a
irdōrsa	- -ird-ōr-s-a
irdōsma	- -ird-ōs-m-a
irdōsra	- -ird-ōs-r-a
irdōssa	- -ird-ōs-s-a
irdōmmana	- -ird-ōm-man-a
irdōmrana	- -ird-ōm-ran-a
irdōmsana	- -ird-ōm-san-a
irdōrmana	- -ird-ōr-man-a
irdōrrana	- -ird-ōr-ran-a
irdōrsana	- -ird-ōr-san-a
irdōsmana	- -ird-ōs-man-a
irdōsrana	- -ird-ōs-ran-a
irdōssana	- -ird-ōs-san-a
indōm	- -ind-ōm
indōr	- -ind-ōr
indōmi	- -ind-ōm-i
indōri	- -ind-ōr-i
indōma	- -ind-ōm-a
indōra	- -ind-ōr-a
indōmir	- -ind-ōm-ir
indōmis	- -ind-ōm-is
indōrim	- -ind-ōr-im
indōris	- -ind-ōr-is
indōsim	- -ind-ōs-im
indōsir	- -ind-ōs-ir
indōsis	- -ind-ōs-is
indōmman	- -ind-ōm-man
indōmran	- -ind-ōm-ran
indōmsan	- -ind-ōm-san
indōrman	- -ind-ōr-man
indōrran	- -ind-ōr-ran
indōrsan	- -ind-ōr-san
indōsman	- -ind-ōs-man
indōsran	- -ind-ōs-ran
indōssan	- -ind-ōs-san
indōmri	- -ind-ōm-r-i
indōmsi	- -ind-ōm-s-i
indōrmi	- -ind-ōr-m-i
indōrsi	- -ind-ōr-s-i
indōsmi	- -ind-ōs-m-i
indōsri	- -ind-ōs-r-i
indōssi	- -ind-ōs-s-i
indōmmani	- -ind-ōm-man-i
indōmrani	- -ind-ōm-ran-i
indōmsani	- -ind-ōm-san-i
indōrmani	- -ind-ōr-man-i
indōrrani	- -ind-ōr-ran-i
indōrsani	- -ind-ōr-san-i
indōsmani	- -ind-ōs-man-i
indōsrani	- -ind-ōs-ran-i
indōssani	- -ind-ōs-san-i
indōmra	- -ind-ōm-r-a
indōmsa	- -ind-ōm-s-a
indōrma	- -ind-ōr-m-a
indōrsa	- -ind-ōr-s-a
indōsma	- -ind-ōs-m-a
indōsra	- -ind-ōs-r-a
indōssa	- -ind-ōs-s-a
indōmmana	- -ind-ōm-man-a
indōmrana	- -ind-ōm-ran-a
indōmsana	- -ind-ōm-san-a
indōrmana	- -ind-ōr-man-a
indōrrana	- -ind-ōr-ran-a
indōrsana	- -ind-ōr-san-a
indōsmana	- -ind-ōs-man-a
indōsrana	- -ind-ōs-ran-a
indōssana	- -ind-ōs-san-a
kedōm	- -k-ed-ōm
kedōr	- -k-ed-ōr
kedōmir	- -k-ed-ōm-ir
kedōmis	- -k-ed-ōm-is
kedōrim	- -k-ed-ōr-im
kedōris	- -k-ed-ōr-is
kedōsim	- -k-ed-ōs-im
kedōsir	- -k-ed-ōs-ir
kedōsis	- -k-ed-ōs-is
kedōmman	- -k-ed-ōm-man
kedōmran	- -k-ed-ōm-ran
kedōmsan	- -k-ed-ōm-san
kedōrman	- -k-ed-ōr-man
kedōrran	- -k-ed-ōr-ran
kedōrsan	- -k-ed-ōr-san
kedōsman	- -k-ed-ōs-man
kedōsran	- -k-ed-ōs-ran
kedōssan	- -k-ed-ōs-san
kedōmri	- -k-ed-ōm-r-i
kedōmsi	- -k-ed-ōm-s-i
kedōrmi	- -k-ed-ōr-m-i
kedōrsi	- -k-ed-ōr-s-i
kedōsmi	- -k-ed-ōs-m-i
kedōsri	- -k-ed-ōs-r-i
kedōssi	- -k-ed-ōs-s-i
kedōmmani	- -k-ed-ōm-man-i
kedōmrani	- -k-ed-ōm-ran-i
kedōmsani	- -k-ed-ōm-san-i
kedōrmani	- -k-ed-ōr-man-i
kedōrrani	- -k-ed-ōr-ran-i
kedōrsani	- -k-ed-ōr-san-i
kedōsmani	- -k-ed-ōs-man-i
kedōsrani	- -k-ed-ōs-ran-i
kedōssani	- -k-ed-ōs-san-i
kedōmra	- -k-ed-ōm-r-a
kedōmsa	- -k-ed-ōm-s-a
kedōrma	- -k-ed-ōr-m-a
kedōrsa	- -k-ed-ōr-s-a
kedōsma	- -k-ed-ōs-m-a
kedōsra	- -k-ed-ōs-r-a
kedōssa	- -k-ed-ōs-s-a
kedōmmana	- -k-ed-ōm-man-a
kedōmrana	- -k-ed-ōm-ran-a
kedōmsana	- -k-ed-ōm-san-a
kedōrmana	- -k-ed-ōr-man-a
kedōrrana	- -k-ed-ōr-ran-a
kedōrsana	- -k-ed-ōr-san-a
kedōsmana	- -k-ed-ōs-man-a
kedōsrana	- -k-ed-ōs-ran-a
kedōssana	- -k-ed-ōs-san-a
nawidōm	- -naw-id-ōm
nawidōr	- -naw-id-ōr
nawidōmir	- -naw-id-ōm-ir
nawidōmis	- -naw-id-ōm-is
nawidōrim	- -naw-id-ōr-im
nawidōris	- -naw-id-ōr-is
nawidōsim	- -naw-id-ōs-im
nawidōsir	- -naw-id-ōs-ir
nawidōsis	- -naw-id-ōs-is
nawidōmman	- -naw-id-ōm-man
nawidōmran	- -naw-id-ōm-ran
nawidōmsan	- -naw-id-ōm-san
nawidōrman	- -naw-id-ōr-man
nawidōrran	- -naw-id-ōr-ran
nawidōrsan	- -naw-id-ōr-san
nawidōsman	- -naw-id-ōs-man
nawidōsran	- -naw-id-ōs-ran
nawidōssan	- -naw-id-ōs-san
nawidōmri	- -naw-id-ōm-r-i
nawidōmsi	- -naw-id-ōm-s-i
nawidōrmi	- -naw-id-ōr-m-i
nawidōrsi	- -naw-id-ōr-s-i
nawidōsmi	- -naw-id-ōs-m-i
nawidōsri	- -naw-id-ōs-r-i
nawidōssi	- -naw-id-ōs-s-i
nawidōmmani	- -naw-id-ōm-man-i
nawidōmrani	- -naw-id-ōm-ran-i
nawidōmsani	- -naw-id-ōm-san-i
nawidōrmani	- -naw-id-ōr-man-i
nawidōrrani	- -naw-id-ōr-ran-i
nawidōrsani	- -naw-id-ōr-san-i
nawidōsmani	- -naw-id-ōs-man-i
nawidōsrani	- -naw-id-ōs-ran-i
nawidōssani	- -naw-id-ōs-san-i
nawidōmra	- -naw-id-ōm-r-a
nawidōmsa	- -naw-id-ōm-s-a
nawidōrma	- -naw-id-ōr-m-a
nawidōrsa	- -naw-id-ōr-s-a
nawidōsma	- -naw-id-ōs-m-a
nawidōsra	- -naw-id-ōs-r-a
nawidōssa	- -naw-id-ōs-s-a
nawidōmmana	- -naw-id-ōm-man-a
nawidōmrana	- -naw-id-ōm-ran-a
nawidōmsana	- -naw-id-ōm-san-a
nawidōrmana	- -naw-id-ōr-man-a
nawidōrrana	- -naw-id-ōr-ran-a
nawidōrsana	- -naw-id-ōr-san-a
nawidōsmana	- -naw-id-ōs-man-a
nawidōsrana	- -naw-id-ōs-ran-a
nawidōssana	- -naw-id-ōs-san-a
rōm	- -r-ōm
rōr	- -r-ōr
rōmi	- -r-ōm-i
rōri	- -r-ōr-i
rōma	- -r-ōm-a
rōra	- -r-ōr-a
rōmir	- -r-ōm-ir
rōmis	- -r-ōm-is
rōrim	- -r-ōr-im
rōris	- -r-ōr-is
rōsim	- -r-ōs-im
rōsir	- -r-ōs-ir
rōsis	- -r-ōs-is
rōmman	- -r-ōm-man
rōmran	- -r-ōm-ran
rōmsan	- -r-ōm-san
rōrman	- -r-ōr-man
rōrran	- -r-ōr-ran
rōrsan	- -r-ōr-san
rōsman	- -r-ōs-man
rōsran	- -r-ōs-ran
rōssan	- -r-ōs-san
rōmri	- -r-ōm-r-i
rōmsi	- -r-ōm-s-i
rōrmi	- -r-ōr-m-i
rōrsi	- -r-ōr-s-i
rōsmi	- -r-ōs-m-i
rōsri	- -r-ōs-r-i
rōssi	- -r-ōs-s-i
rōmmani	- -r-ōm-man-i
rōmrani	- -r-ōm-ran-i
rōmsani	- -r-ōm-san-i
rōrmani	- -r-ōr-man-i
rōrrani	- -r-ōr-ran-i
rōrsani	- -r-ōr-san-i
rōsmani	- -r-ōs-man-i
rōsrani	- -r-ōs-ran-i
rōssani	- -r-ōs-san-i
rōmra	- -r-ōm-r-a
rōmsa	- -r-ōm-s-a
rōrma	- -r-ōr-m-a
rōrsa	- -r-ōr-s-a
rōsma	- -r-ōs-m-a
rōsra	- -r-ōs-r-a
rōssa	- -r-ōs-s-a
rōmmana	- -r-ōm-man-a
rōmrana	- -r-ōm-ran-a
rōmsana	- -r-ōm-san-a
rōrmana	- -r-ōr-man-a
rōrrana	- -r-ōr-ran-a
rōrsana	- -r-ōr-san-a
rōsmana	- -r-ōs-man-a
rōsrana	- -r-ōs-ran-a
rōssana	- -r-ōs-san-a
irōm	- -ir-ōm
irōr	- -ir-ōr
irōmi	- -ir-ōm-i
irōri	- -ir-ōr-i
irōma	- -ir-ōm-a
irōra	- -ir-ōr-a
irōmir	- -ir-ōm-ir
irōmis	- -ir-ōm-is
irōrim	- -ir-ōr-im
irōris	- -ir-ōr-is
irōsim	- -ir-ōs-im
irōsir	- -ir-ōs-ir
irōsis	- -ir-ōs-is
irōmman	- -ir-ōm-man
irōmran	- -ir-ōm-ran
irōmsan	- -ir-ōm-san
irōrman	- -ir-ōr-man
irōrran	- -ir-ōr-ran
irōrsan	- -ir-ōr-san
irōsman	- -ir-ōs-man
irōsran	- -ir-ōs-ran
irōssan	- -ir-ōs-san
irōmri	- -ir-ōm-r-i
irōmsi	- -ir-ōm-s-i
irōrmi	- -ir-ōr-m-i
irōrsi	- -ir-ōr-s-i
irōsmi	- -ir-ōs-m-i
irōsri	- -ir-ōs-r-i
irōssi	- -ir-ōs-s-i
irōmmani	- -ir-ōm-man-i
irōmrani	- -ir-ōm-ran-i
irōmsani	- -ir-ōm-san-i
irōrmani	- -ir-ōr-man-i
irōrrani	- -ir-ōr-ran-i
irōrsani	- -ir-ōr-san-i
irōsmani	- -ir-ōs-man-i
irōsrani	- -ir-ōs-ran-i
irōssani	- -ir-ōs-san-i
irōmra	- -ir-ōm-r-a
irōmsa	- -ir-ōm-s-a
irōrma	- -ir-ōr-m-a
irōrsa	- -ir-ōr-s-a
irōsma	- -ir-ōs-m-a
irōsra	- -ir-ōs-r-a
irōssa	- -ir-ōs-s-a
irōmmana	- -ir-ōm-man-a
irōmrana	- -ir-ōm-ran-a
irōmsana	- -ir-ōm-san-a
irōrmana	- -ir-ōr-man-a
irōrrana	- -ir-ōr-ran-a
irōrsana	- -ir-ōr-san-a
irōsmana	- -ir-ōs-man-a
irōsrana	- -ir-ōs-ran-a
irōssana	- -ir-ōs-san-a
īrōm	- -ī-r-ōm
īrōr	- -ī-r-ōr
īrōmi	- -ī-r-ōm-i
īrōri	- -ī-r-ōr-i
īrōma	- -ī-r-ōm-a
īrōra	- -ī-r-ōr-a
tōm	t-ōm
tōr	t-ōr
tōmi	t-ōm-i
tōri	t-ōr-i
tōma	t-ōm-a
tōra	t-ōr-a
tōmir	t-ōm-ir
tōmis	t-ōm-is
tōrim	t-ōr-im
tōris	t-ōr-is
tōsim	t-ōs-im
tōsir	t-ōs-ir
tōsis	t-ōs-is
tōmman	t-ōm-man
tōmran	t-ōm-ran
tōmsan	t-ōm-san
tōrman	t-ōr-man
tōrran	t-ōr-ran
tōrsan	t-ōr-san
tōsman	t-ōs-man
tōsran	t-ōs-ran
tōssan	t-ōs-san
tōmri	t-ōm-r-i
tōmsi	t-ōm-s-i
tōrmi	t-ōr-m-i
tōrsi	t-ōr-s-i
tōsmi	t-ōs-m-i
tōsri	t-ōs-r-i
tōssi	t-ōs-s-i
tōmmani	t-ōm-man-i
tōmrani	t-ōm-ran-i
tōmsani	t-ōm-san-i
tōrmani	t-ōr-man-i
tōrrani	t-ōr-ran-i
tōrsani	t-ōr-san-i
tōsmani	t-ōs-man-i
tōsrani	t-ōs-ran-i
tōssani	t-ōs-san-i
tōmra	t-ōm-r-a
tōmsa	t-ōm-s-a
tōrma	t-ōr-m-a
tōrsa	t-ōr-s-a
tōsma	t-ōs-m-a
tōsra	t-ōs-r-a
tōssa	t-ōs-s-a
tōmmana	t-ōm-man-a
tōmrana	t-ōm-ran-a
tōmsana	t-ōm-san-a
tōrmana	t-ōr-man-a
tōrrana	t-ōr-ran-a
tōrsana	t-ōr-san-a
tōsmana	t-ōs-man-a
tōsrana	t-ōs-ran-a
tōssana	t-ōs-san-a
ērōm	ē-r-ōm
ērōr	ē-r-ōr
ērōmi	ē-r-ōm-i
ērōri	ē-r-ōr-i
ērōma	ē-r-ōm-a
ērōra	ē-r-ōr-a
ērōmir	ē-r-ōm-ir
ērōmis	ē-r-ōm-is
ērōrim	ē-r-ōr-im
ērōris	ē-r-ōr-is
ērōsim	ē-r-ōs-im
ērōsir	ē-r-ōs-ir
ērōsis	ē-r-ōs-is
ērōmman	ē-r-ōm-man
ērōmran	ē-r-ōm-ran
ērōmsan	ē-r-ōm-san
ērōrman	ē-r-ōr-man
ērōrran	ē-r-ōr-ran
ērōrsan	ē-r-ōr-san
ērōsman	ē-r-ōs-man
ērōsran	ē-r-ōs-ran
ērōssan	ē-r-ōs-san
ērōmri	ē-r-ōm-r-i
ērōmsi	ē-r-ōm-s-i
ērōrmi	ē-r-ōr-m-i
ērōrsi	ē-r-ōr-s-i
ērōsmi	ē-r-ōs-m-i
ērōsri	ē-r-ōs-r-i
ērōssi	ē-r-ōs-s-i
ērōmmani	ē-r-ōm-man-i
ērōmrani	ē-r-ōm-ran-i
ērōmsani	ē-r-ōm-san-i
ērōrmani	ē-r-ōr-man-i
ērōrrani	ē-r-ōr-ran-i
ērōrsani	ē-r-ōr-san-i
ērōsmani	ē-r-ōs-man-i
ērōsrani	ē-r-ōs-ran-i
ērōssani	ē-r-ōs-san-i
ērōmra	ē-r-ōm-r-a
ērōmsa	ē-r-ōm-s-a
ērōrma	ē-r-ōr-m-a
ērōrsa	ē-r-ōr-s-a
ērōsma	ē-r-ōs-m-a
ērōsra	ē-r-ōs-r-a
ērōssa	ē-r-ōs-s-a
ērōmmana	ē-r-ōm-man-a
ērōmrana	ē-r-ōm-ran-a
ērōmsana	ē-r-ōm-san-a
ērōrmana	ē-r-ōr-man-a
ērōrrana	ē-r-ōr-ran-a
ērōrsana	ē-r-ōr-san-a
ērōsmana	ē-r-ōs-man-a
ērōsrana	ē-r-ōs-ran-a
ērōssana	ē-r-ōs-san-a
garōm	ga-r-ōm
garōr	ga-r-ōr
garōmi	ga-r-ōm-i
garōri	ga-r-ōr-i
garōma	ga-r-ōm-a
garōra	ga-r-ōr-a
garōmir	ga-r-ōm-ir
garōmis	ga-r-ōm-is
garōrim	ga-r-ōr-im
garōris	ga-r-ōr-is
garōsim	ga-r-ōs-im
garōsir	ga-r-ōs-ir
garōsis	ga-r-ōs-is
garōmman	ga-r-ōm-man
garōmran	ga-r-ōm-ran
garōmsan	ga-r-ōm-san
garōrman	ga-r-ōr-man
garōrran	ga-r-ōr-ran
garōrsan	ga-r-ōr-san
garōsman	ga-r-ōs-man
garōsran	ga-r-ōs-ran
garōssan	ga-r-ōs-san
garōmri	ga-r-ōm-r-i
garōmsi	ga-r-ōm-s-i
garōrmi	ga-r-ōr-m-i
garōrsi	ga-r-ōr-s-i
garōsmi	ga-r-ōs-m-i
garōsri	ga-r-ōs-r-i
garōssi	ga-r-ōs-s-i
garōmmani	ga-r-ōm-man-i
garōmrani	ga-r-ōm-ran-i
garōmsani	ga-r-ōm-san-i
garōrmani	ga-r-ōr-man-i
garōrrani	ga-r-ōr-ran-i
garōrsani	ga-r-ōr-san-i
garōsmani	ga-r-ōs-man-i
garōsrani	ga-r-ōs-ran-i
garōssani	ga-r-ōs-san-i
garōmra	ga-r-ōm-r-a
garōmsa	ga-r-ōm-s-a
garōrma	ga-r-ōr-m-a
garōrsa	ga-r-ōr-s-a
garōsma	ga-r-ōs-m-a
garōsra	ga-r-ōs-r-a
garōssa	ga-r-ōs-s-a
garōmmana	ga-r-ōm-man-a
garōmrana	ga-r-ōm-ran-a
garōmsana	ga-r-ōm-san-a
garōrmana	ga-r-ōr-man-a
garōrrana	ga-r-ōr-ran-a
garōrsana	ga-r-ōr-san-a
garōsmana	ga-r-ōs-man-a
garōsrana	ga-r-ōs-ran-a
garōssana	ga-r-ōs-san-a
hrōm	- -h-r-ōm
hrōr	- -h-r-ōr
hrōmi	- -h-r-ōm-i
hrōri	- -h-r-ōr-i
hrōma	- -h-r-ōm-a
hrōra	- -h-r-ōr-a
xallīhōm	xallī-hōm
ḍallō	ḍall-ō
ḍallhōm	ḍall-hōm
innō	inn-ō
innhōm	inn-hōm
ŭmta	 -ŭ-m-ta
ŭrta	 -ŭ-r-ta
ŭsta	 -ŭ-s-ta
ŭmanta	 -ŭ-man-ta
ŭranta	 -ŭ-ran-ta
ŭsanta	 -ŭ-san-ta
ŭmki	 -ŭ-m-ki
ŭrki	 -ŭ-r-ki
ŭski	 -ŭ-s-ki
ŭmanki	 -ŭ-man-ki
ŭranki	 -ŭ-ran-ki
ŭsanki	 -ŭ-san-ki
ŭmma	 -ŭ-m-ma
ŭrma	 -ŭ-r-ma
ŭsma	 -ŭ-s-ma
ŭmanma	 -ŭ-man-ma
ŭranma	 -ŭ-ran-ma
ŭsanma	 -ŭ-san-ma
ŭmka	 -ŭ-m-ka
ŭrka	 -ŭ-r-ka
ŭska	 -ŭ-s-ka
ŭmanka	 -ŭ-man-ka
ŭranka	 -ŭ-ran-ka
ŭsanka	 -ŭ-san-ka
ŭmke	 -ŭ-m-ke
ŭrke	 -ŭ-r-ke
ŭske	 -ŭ-s-ke
ŭmanke	 -ŭ-man-ke
ŭranke	 -ŭ-ran-ke
ŭsanke	 -ŭ-san-ke
abŭmke	ab-ŭm-ke
abŭrke	ab-ŭr-ke
abŭske	ab-ŭs-ke
abŭmka	ab-ŭm-ka
abŭrka	ab-ŭr-ka
abŭska	ab-ŭs-ka
ŭmsan	 -ŭ-m-san
ŭrsan	 -ŭ-r-san
ŭssan	 -ŭ-s-san
ŭmansan	 -ŭ-man-san
ŭransan	 -ŭ-ran-san
ŭsansan	 -ŭ-san-san
biddŭ	bidd-ŭ
ŭm	 -ŭ-m
ŭr	 -ŭ-r
ŭs	 -ŭ-s
ŭmi	 -ŭ-m-i
ŭri	 -ŭ-r-i
ŭsi	 -ŭ-s-i
ŭman	 -ŭ-man
ŭran	 -ŭ-ran
ŭsan	 -ŭ-san
ŭmani	 -ŭ-man-i
ŭrani	 -ŭ-ran-i
ŭsani	 -ŭ-san-i
ŭm	- -ŭm
ŭk	- -ŭk
ŭr	- -ŭr
ŭn	- -ŭn
ŭs	- -ŭs
ŭd	- -ŭd
ŭnd	- -ŭnd
ŭmi	- -ŭm-i
ŭk	- -ŭk
ŭri	- -ŭr-i
ŭni	- -ŭn-i
ŭsi	- -ŭs-i
ŭdi	- -ŭd-i
ŭndi	- -ŭnd-i
ŭma	- -ŭm-a
ŭra	- -ŭr-a
ŭna	- -ŭn-a
ŭsa	- -ŭs-a
ŭnda	- -ŭnd-a
ŭda	- -ŭd-a
ŭmir	- -ŭm-ir
ŭmis	- -ŭm-is
ŭmman	- -ŭm-man
ŭmran	- -ŭm-ran
ŭmsan	- -ŭm-san
ŭym	- -ŭy-m
ŭys	- -ŭy-s
ŭman	- -ŭ-man
ŭran	- -ŭ-ran
ŭsan	- -ŭ-san
ŭrim	- -ŭr-im
ŭrir	- -ŭr-ir
ŭris	- -ŭr-is
ŭrman	- -ŭr-man
ŭrran	- -ŭr-ran
ŭrsan	- -ŭr-san
ŭnim	- -ŭn-im
ŭnir	- -ŭn-ir
ŭnis	- -ŭn-is
ŭnran	- -ŭn-ran
ŭnsan	- -ŭn-san
ŭsim	- -ŭs-im
ŭsir	- -ŭs-ir
ŭsis	- -ŭs-is
ŭsman	- -ŭs-man
ŭsran	- -ŭs-ran
ŭssan	- -ŭs-san
ŭdim	- -ŭd-im
ŭdir	- -ŭd-ir
ŭdis	- -ŭd-is
ŭdman	- -ŭd-man
ŭdran	- -ŭd-ran
ŭdsan	- -ŭd-san
ŭmri	- -ŭm-r-i
ŭmsi	- -ŭm-s-i
ŭmmani	- -ŭm-man-i
ŭmrani	- -ŭm-ran-i
ŭmsani	- -ŭm-san-i
ŭmi	- -ŭ-m-i
ŭsi	- -ŭ-s-i
ŭmani	- -ŭ-man-i
ŭrani	- -ŭ-ran-i
ŭsani	- -ŭ-san-i
ŭrmi	- -ŭr-m-i
ŭrri	- -ŭr-r-i
ŭrsi	- -ŭr-s-i
ŭrmani	- -ŭr-man-i
ŭrrani	- -ŭr-ran-i
ŭrsani	- -ŭr-san-i
ŭnmi	- -ŭn-m-i
ŭnri	- -ŭn-r-i
ŭnsi	- -ŭn-s-i
ŭnrani	- -ŭn-ran-i
ŭnsani	- -ŭn-san-i
ŭsmi	- -ŭs-m-i
ŭsri	- -ŭs-r-i
ŭssi	- -ŭs-s-i
ŭsmani	- -ŭs-man-i
ŭsrani	- -ŭs-ran-i
ŭssani	- -ŭs-san-i
ŭdmi	- -ŭd-m-i
ŭdri	- -ŭd-r-i
ŭdsi	- -ŭd-s-i
ŭdmani	- -ŭd-man-i
ŭdrani	- -ŭd-ran-i
ŭdsani	- -ŭd-san-i
ŭmira	- -ŭm-ir-a
ŭmisa	- -ŭm-is-a
ŭmmana	- -ŭm-man-a
ŭmrana	- -ŭm-ran-a
ŭmsana	- -ŭm-san-a
ŭma	- -ŭ-m-a
ŭsa	- -ŭ-s-a
ŭmana	- -ŭ-man-a
ŭrana	- -ŭ-ran-a
ŭsana	- -ŭ-san-a
ŭrma	- -ŭr-m-a
ŭrra	- -ŭr-r-a
ŭrsa	- -ŭr-s-a
ŭrmana	- -ŭr-man-a
ŭrrana	- -ŭr-ran-a
ŭrsana	- -ŭr-san-a
ŭnma	- -ŭn-m-a
ŭnra	- -ŭn-r-a
ŭnsa	- -ŭn-s-a
ŭnrana	- -ŭn-ran-a
ŭnsana	- -ŭn-san-a
ŭsma	- -ŭs-m-a
ŭsra	- -ŭs-r-a
ŭssa	- -ŭs-s-a
ŭsmana	- -ŭs-man-a
ŭsrana	- -ŭs-ran-a
ŭssana	- -ŭs-san-a
ŭdma	- -ŭd-m-a
ŭdra	- -ŭd-r-a
ŭdsa	- -ŭd-s-a
ŭdmana	- -ŭd-man-a
ŭdrana	- -ŭd-ran-a
ŭdsana	- -ŭd-san-a
dŭm	- -d-ŭm
dŭr	- -d-ŭr
dŭmi	- -d-ŭm-i
dŭri	- -d-ŭr-i
dŭma	- -d-ŭm-a
dŭra	- -d-ŭr-a
dŭmir	- -d-ŭm-ir
dŭmis	- -d-ŭm-is
dŭrim	- -d-ŭr-im
dŭris	- -d-ŭr-is
dŭsim	- -d-ŭs-im
dŭsir	- -d-ŭs-ir
dŭsis	- -d-ŭs-is
dŭmman	- -d-ŭm-man
dŭmran	- -d-ŭm-ran
dŭmsan	- -d-ŭm-san
dŭrman	- -d-ŭr-man
dŭrran	- -d-ŭr-ran
dŭrsan	- -d-ŭr-san
dŭsman	- -d-ŭs-man
dŭsran	- -d-ŭs-ran
dŭssan	- -d-ŭs-san
dŭmri	- -d-ŭm-r-i
dŭmsi	- -d-ŭm-s-i
dŭrmi	- -d-ŭr-m-i
dŭrsi	- -d-ŭr-s-i
dŭsmi	- -d-ŭs-m-i
dŭsri	- -d-ŭs-r-i
dŭssi	- -d-ŭs-s-i
dŭmmani	- -d-ŭm-man-i
dŭmrani	- -d-ŭm-ran-i
dŭmsani	- -d-ŭm-san-i
dŭrmani	- -d-ŭr-man-i
dŭrrani	- -d-ŭr-ran-i
dŭrsani	- -d-ŭr-san-i
dŭsmani	- -d-ŭs-man-i
dŭsrani	- -d-ŭs-ran-i
dŭssani	- -d-ŭs-san-i
dŭmra	- -d-ŭm-r-a
dŭmsa	- -d-ŭm-s-a
dŭrma	- -d-ŭr-m-a
dŭrsa	- -d-ŭr-s-a
dŭsma	- -d-ŭs-m-a
dŭsra	- -d-ŭs-r-a
dŭssa	- -d-ŭs-s-a
dŭmmana	- -d-ŭm-man-a
dŭmrana	- -d-ŭm-ran-a
dŭmsana	- -d-ŭm-san-a
dŭrmana	- -d-ŭr-man-a
dŭrrana	- -d-ŭr-ran-a
dŭrsana	- -d-ŭr-san-a
dŭsmana	- -d-ŭs-man-a
dŭsrana	- -d-ŭs-ran-a
dŭssana	- -d-ŭs-san-a
idŭm	- -id-ŭm
idŭr	- -id-ŭr
idŭmi	- -id-ŭm-i
idŭri	- -id-ŭr-i
idŭma	- -id-ŭm-a
idŭra	- -id-ŭr-a
idŭmir	- -id-ŭm-ir
idŭmis	- -id-ŭm-is
idŭrim	- -id-ŭr-im
idŭris	- -id-ŭr-is
idŭsim	- -id-ŭs-im
idŭsir	- -id-ŭs-ir
idŭsis	- -id-ŭs-is
idŭmman	- -id-ŭm-man
idŭmran	- -id-ŭm-ran
idŭmsan	- -id-ŭm-san
idŭrman	- -id-ŭr-man
idŭrran	- -id-ŭr-ran
idŭrsan	- -id-ŭr-san
idŭsman	- -id-ŭs-man
idŭsran	- -id-ŭs-ran
idŭssan	- -id-ŭs-san
idŭmri	- -id-ŭm-r-i
idŭmsi	- -id-ŭm-s-i
idŭrmi	- -id-ŭr-m-i
idŭrsi	- -id-ŭr-s-i
idŭsmi	- -id-ŭs-m-i
idŭsri	- -id-ŭs-r-i
idŭssi	- -id-ŭs-s-i
idŭmmani	- -id-ŭm-man-i
idŭmrani	- -id-ŭm-ran-i
idŭmsani	- -id-ŭm-san-i
idŭrmani	- -id-ŭr-man-i
idŭrrani	- -id-ŭr-ran-i
idŭrsani	- -id-ŭr-san-i
idŭsmani	- -id-ŭs-man-i
idŭsrani	- -id-ŭs-ran-i
idŭssani	- -id-ŭs-san-i
idŭmra	- -id-ŭm-r-a
idŭmsa	- -id-ŭm-s-a
